ID,Otsikko,Linkki,Lähde,Aikuinen,Lapsi/nuori,Asiantuntija
1,Tunnepeli,http://www.suomenkasper.fi/tunnepeli/,Suomen Kasper,0,1,0
2,Huonepeli,http://www.suomenkasper.fi/huonepeli/,Suomen Kasper,0,1,0
