ID,Otsikko,Linkki,Lähde
1,100 asiaa erosta,https://apuaeroon.fi/nuoret/100asiaaerosta/,Apuaeroon
2,Tunnepeli,http://www.suomenkasper.fi/tunnepeli/,Suomen Kasper
3,Huonepeli,http://www.suomenkasper.fi/huonepeli/,Suomen Kasper
4,Nuorille,http://www.suomenkasper.fi/nuorille/,Suomen Kasper
5,Keskustelupalsta,https://www.nuortennetti.fi/keskustelut/,MLL
6,VeNyvä-hanke,https://www.yvpl.fi/liiton-tukitoiminta/venyva-hanke/,Yhden Vanhemman Perheiden Liitto
