ID,Otsikko,Linkki,Lähde,Aikuinen,Lapsi/nuori,Asiantuntija
1,Ajankohtaista,http://www.suomenkasper.fi/ajankohtaista/,Suomen Kasper,1,0,1
2,Tapahtumat,https://ensijaturvakotienliitto.fi/tietoa-liitosta/ajankohtaista/tapahtumat/,Ensi- ja turvakotien liitto,1,0,1
3,Ajankohtaista,https://ensijaturvakotienliitto.fi/tietoa-liitosta/ajankohtaista/,Ensi- ja turvakotien liitto,1,0,0
4,Ajankohtaista,https://www.miessakit.fi/fi/ajankohtaista,Miessakit,1,0,1
5,Etusivu,https://www.yvpl.fi/,Yhden Vanhemman Perheiden Liitto,1,0,0
