ID,Otsikko,Linkki,Lähde,Aikuinen,Lapsi/nuori,Asiantuntija
1,Näin selvisin,https://apuaeroon.fi/palveluhaku/nain_selvisin/,Apuaeroon,1,0,0
2,Nuorille,http://www.suomenkasper.fi/nuorille/,Suomen Kasper,0,1,0
3,Tarinat,https://www.tukinet.net/tarina/index.tmpl?ty=1,Tukinet,1,0,0
